,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-02 16:10:00,32146,1402
1,Bayern,2020-05-02 16:10:00,42658,1885
2,Berlin,2020-05-02 16:10:00,5943,152
3,Brandenburg,2020-05-02 16:10:00,2886,122
4,Bremen,2020-05-02 16:10:00,871,30
5,Hamburg,2020-05-02 16:10:00,4609,163
6,Hessen,2020-05-02 16:10:00,8486,364
7,Mecklenburg- Vor­pommern,2020-05-02 16:10:00,695,18
8,Niedersachsen,2020-05-02 16:10:00,10246,451
9,Nordrhein-West­falen,2020-05-02 16:10:00,33216,1268
10,Rhein­land-Pfalz,2020-05-02 16:10:00,6099,173
11,Saarland,2020-05-02 16:10:00,2597,135
12,Sachsen,2020-05-02 16:10:00,4617,163
13,Sachsen-Anhalt,2020-05-02 16:10:00,1571,44
14,Schles­wig-Holstein,2020-05-02 16:10:00,2728,112
15,Thüringen,2020-05-02 16:10:00,2335,93
16,Gesamt,2020-05-02 16:10:00,161703,6575
