,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-30 10:10:00,234498,4695
1,Bayern,2020-12-30 10:10:00,318339,6549
2,Berlin,2020-12-30 10:10:00,95729,1213
3,Branden­burg,2020-12-30 10:10:00,39627,884
4,Bremen,2020-12-30 10:10:00,13411,191
5,Hamburg,2020-12-30 10:10:00,35947,614
6,Hessen,2020-12-30 10:10:00,133475,2711
7,Meck­lenburg- Vor­pommern,2020-12-30 10:10:00,11623,161
8,Nieder­sachsen,2020-12-30 10:10:00,104768,1908
9,Nord­rhein-West­falen,2020-12-30 10:10:00,387437,6451
10,Rhein­land-Pfalz,2020-12-30 10:10:00,70749,1378
11,Saarland,2020-12-30 10:10:00,19539,421
12,Sachsen,2020-12-30 10:10:00,128785,3003
13,Sachsen-Anhalt,2020-12-30 10:10:00,28316,560
14,Schles­wig-Holstein,2020-12-30 10:10:00,24284,411
15,Thüringen,2020-12-30 10:10:00,40658,957
16,Gesamt,2020-12-30 10:10:00,1687185,32107
