,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-11 10:10:00,33190,1545
1,Bayern,2020-05-11 10:10:00,44368,2155
2,Berlin,2020-05-11 10:10:00,6272,165
3,Brandenburg,2020-05-11 10:10:00,3106,134
4,Bremen,2020-05-11 10:10:00,1055,34
5,Hamburg,2020-05-11 10:10:00,4780,204
6,Hessen,2020-05-11 10:10:00,9012,412
7,Mecklenburg- Vor­pommern,2020-05-11 10:10:00,728,19
8,Niedersachsen,2020-05-11 10:10:00,10854,498
9,Nordrhein-West­falen,2020-05-11 10:10:00,35132,1437
10,Rhein­land-Pfalz,2020-05-11 10:10:00,6313,195
11,Saarland,2020-05-11 10:10:00,2665,142
12,Sachsen,2020-05-11 10:10:00,4915,187
13,Sachsen-Anhalt,2020-05-11 10:10:00,1643,48
14,Schles­wig-Holstein,2020-05-11 10:10:00,2957,124
15,Thüringen,2020-05-11 10:10:00,2585,118
16,Gesamt,2020-05-11 10:10:00,169575,7417
