,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-05 10:10:00,32482,1452
1,Bayern,2020-05-05 10:10:00,43162,1949
2,Berlin,2020-05-05 10:10:00,6042,154
3,Brandenburg,2020-05-05 10:10:00,2940,123
4,Bremen,2020-05-05 10:10:00,895,31
5,Hamburg,2020-05-05 10:10:00,4644,172
6,Hessen,2020-05-05 10:10:00,8585,381
7,Mecklenburg- Vor­pommern,2020-05-05 10:10:00,703,19
8,Niedersachsen,2020-05-05 10:10:00,10380,463
9,Nordrhein-West­falen,2020-05-05 10:10:00,33728,1332
10,Rhein­land-Pfalz,2020-05-05 10:10:00,6160,182
11,Saarland,2020-05-05 10:10:00,2618,139
12,Sachsen,2020-05-05 10:10:00,4745,171
13,Sachsen-Anhalt,2020-05-05 10:10:00,1585,46
14,Schles­wig-Holstein,2020-05-05 10:10:00,2799,118
15,Thüringen,2020-05-05 10:10:00,2392,99
16,Gesamt,2020-05-05 10:10:00,163860,6831
