,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-07 10:10:00,43592,1865
1,Bayern,2020-09-07 10:10:00,59298,2642
2,Berlin,2020-09-07 10:10:00,11727,226
3,Branden­burg,2020-09-07 10:10:00,3931,169
4,Bremen,2020-09-07 10:10:00,2070,58
5,Hamburg,2020-09-07 10:10:00,6486,267
6,Hessen,2020-09-07 10:10:00,16145,535
7,Meck­lenburg- Vor­pommern,2020-09-07 10:10:00,1023,20
8,Nieder­sachsen,2020-09-07 10:10:00,17284,665
9,Nord­rhein-West­falen,2020-09-07 10:10:00,60433,1823
10,Rhein­land-Pfalz,2020-09-07 10:10:00,9364,243
11,Saarland,2020-09-07 10:10:00,3199,174
12,Sachsen,2020-09-07 10:10:00,6149,225
13,Sachsen-Anhalt,2020-09-07 10:10:00,2282,66
14,Schles­wig-Holstein,2020-09-07 10:10:00,4126,161
15,Thüringen,2020-09-07 10:10:00,3690,186
16,Gesamt,2020-09-07 10:10:00,250799,9325
