,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-10 10:10:00,35990,1837
1,Bayern,2020-07-10 10:10:00,49086,2610
2,Berlin,2020-07-10 10:10:00,8586,216
3,Branden­burg,2020-07-10 10:10:00,3452,168
4,Bremen,2020-07-10 10:10:00,1688,54
5,Hamburg,2020-07-10 10:10:00,5231,261
6,Hessen,2020-07-10 10:10:00,11104,514
7,Meck­lenburg- Vor­pommern,2020-07-10 10:10:00,803,20
8,Nieder­sachsen,2020-07-10 10:10:00,13791,641
9,Nord­rhein-West­falen,2020-07-10 10:10:00,44645,1701
10,Rhein­land-Pfalz,2020-07-10 10:10:00,7126,236
11,Saarland,2020-07-10 10:10:00,2812,174
12,Sachsen,2020-07-10 10:10:00,5469,225
13,Sachsen-Anhalt,2020-07-10 10:10:00,1905,61
14,Schles­wig-Holstein,2020-07-10 10:10:00,3202,154
15,Thüringen,2020-07-10 10:10:00,3288,182
16,Gesamt,2020-07-10 10:10:00,198178,9054
