,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-05 10:10:00,246440,5052
1,Bayern,2021-01-05 10:10:00,337095,7163
2,Berlin,2021-01-05 10:10:00,99525,1327
3,Branden­burg,2021-01-05 10:10:00,43163,1015
4,Bremen,2021-01-05 10:10:00,13803,208
5,Hamburg,2021-01-05 10:10:00,37879,671
6,Hessen,2021-01-05 10:10:00,141012,3095
7,Meck­lenburg- Vor­pommern,2021-01-05 10:10:00,12738,189
8,Nieder­sachsen,2021-01-05 10:10:00,111453,2101
9,Nord­rhein-West­falen,2021-01-05 10:10:00,404488,7010
10,Rhein­land-Pfalz,2021-01-05 10:10:00,74962,1531
11,Saarland,2021-01-05 10:10:00,20272,455
12,Sachsen,2021-01-05 10:10:00,141002,3412
13,Sachsen-Anhalt,2021-01-05 10:10:00,32480,704
14,Schles­wig-Holstein,2021-01-05 10:10:00,25986,475
15,Thüringen,2021-01-05 10:10:00,45112,1110
16,Gesamt,2021-01-05 10:10:00,1787410,35518
