,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-17 10:10:00,118596,2297
1,Bayern,2020-11-17 10:10:00,160729,3191
2,Berlin,2020-11-17 10:10:00,49039,371
3,Branden­burg,2020-11-17 10:10:00,13260,251
4,Bremen,2020-11-17 10:10:00,8277,98
5,Hamburg,2020-11-17 10:10:00,20405,314
6,Hessen,2020-11-17 10:10:00,66503,905
7,Meck­lenburg- Vor­pommern,2020-11-17 10:10:00,4464,40
8,Nieder­sachsen,2020-11-17 10:10:00,56182,917
9,Nord­rhein-West­falen,2020-11-17 10:10:00,207224,2700
10,Rhein­land-Pfalz,2020-11-17 10:10:00,33459,370
11,Saarland,2020-11-17 10:10:00,10300,217
12,Sachsen,2020-11-17 10:10:00,36083,546
13,Sachsen-Anhalt,2020-11-17 10:10:00,8383,106
14,Schles­wig-Holstein,2020-11-17 10:10:00,11623,227
15,Thüringen,2020-11-17 10:10:00,11219,264
16,Gesamt,2020-11-17 10:10:00,815746,12814
