,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-03 10:10:00,243914,4925
1,Bayern,2021-01-03 10:10:00,332619,6868
2,Berlin,2021-01-03 10:10:00,98097,1285
3,Branden­burg,2021-01-03 10:10:00,42713,993
4,Bremen,2021-01-03 10:10:00,13713,202
5,Hamburg,2021-01-03 10:10:00,37535,661
6,Hessen,2021-01-03 10:10:00,139965,2962
7,Meck­lenburg- Vor­pommern,2021-01-03 10:10:00,12454,177
8,Nieder­sachsen,2021-01-03 10:10:00,110271,2028
9,Nord­rhein-West­falen,2021-01-03 10:10:00,400594,6751
10,Rhein­land-Pfalz,2021-01-03 10:10:00,73915,1466
11,Saarland,2021-01-03 10:10:00,20141,441
12,Sachsen,2021-01-03 10:10:00,138332,3353
13,Sachsen-Anhalt,2021-01-03 10:10:00,31497,687
14,Schles­wig-Holstein,2021-01-03 10:10:00,25540,443
15,Thüringen,2021-01-03 10:10:00,44366,1030
16,Gesamt,2021-01-03 10:10:00,1765666,34272
