,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-30 10:10:00,291818,7013
1,Bayern,2021-01-30 10:10:00,400504,10344
2,Berlin,2021-01-30 10:10:00,119514,2238
3,Branden­burg,2021-01-30 10:10:00,67836,2263
4,Bremen,2021-01-30 10:10:00,15885,266
5,Hamburg,2021-01-30 10:10:00,46015,1066
6,Hessen,2021-01-30 10:10:00,170883,4786
7,Meck­lenburg- Vor­pommern,2021-01-30 10:10:00,19682,443
8,Nieder­sachsen,2021-01-30 10:10:00,141085,3253
9,Nord­rhein-West­falen,2021-01-30 10:10:00,483456,10717
10,Rhein­land-Pfalz*,2021-01-30 10:10:00,91711,2450
11,Saarland,2021-01-30 10:10:00,25450,731
12,Sachsen,2021-01-30 10:10:00,179153,6254
13,Sachsen-Anhalt,2021-01-30 10:10:00,51521,1705
14,Schles­wig-Holstein,2021-01-30 10:10:00,35717,853
15,Thüringen,2021-01-30 10:10:00,64941,2164
16,Gesamt,2021-01-30 10:10:00,2205171,56546
