,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-22 10:10:00,214466,4101
1,Bayern,2020-12-22 10:10:00,292735,5802
2,Berlin,2020-12-22 10:10:00,88029,1024
3,Branden­burg,2020-12-22 10:10:00,33461,694
4,Bremen,2020-12-22 10:10:00,12642,172
5,Hamburg,2020-12-22 10:10:00,32726,549
6,Hessen,2020-12-22 10:10:00,122638,2200
7,Meck­lenburg- Vor­pommern,2020-12-22 10:10:00,9899,121
8,Nieder­sachsen,2020-12-22 10:10:00,96232,1684
9,Nord­rhein-West­falen,2020-12-22 10:10:00,357298,5425
10,Rhein­land-Pfalz,2020-12-22 10:10:00,64640,1090
11,Saarland,2020-12-22 10:10:00,17977,369
12,Sachsen,2020-12-22 10:10:00,109194,2315
13,Sachsen-Anhalt,2020-12-22 10:10:00,23564,399
14,Schles­wig-Holstein,2020-12-22 10:10:00,21060,333
15,Thüringen,2020-12-22 10:10:00,33619,728
16,Gesamt,2020-12-22 10:10:00,1530180,27006
