,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-03 10:10:00,32291,1412
1,Bayern,2020-05-03 10:10:00,42792,1910
2,Berlin,2020-05-03 10:10:00,5976,154
3,Brandenburg,2020-05-03 10:10:00,2905,122
4,Bremen,2020-05-03 10:10:00,875,30
5,Hamburg,2020-05-03 10:10:00,4631,164
6,Hessen,2020-05-03 10:10:00,8524,370
7,Mecklenburg- Vor­pommern,2020-05-03 10:10:00,698,18
8,Niedersachsen,2020-05-03 10:10:00,10283,453
9,Nordrhein-West­falen,2020-05-03 10:10:00,33428,1287
10,Rhein­land-Pfalz,2020-05-03 10:10:00,6133,176
11,Saarland,2020-05-03 10:10:00,2605,138
12,Sachsen,2020-05-03 10:10:00,4696,165
13,Sachsen-Anhalt,2020-05-03 10:10:00,1576,44
14,Schles­wig-Holstein,2020-05-03 10:10:00,2738,113
15,Thüringen,2020-05-03 10:10:00,2345,93
16,Gesamt,2020-05-03 10:10:00,162496,6649
