,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-23 10:10:00,217464,4267
1,Bayern,2020-12-23 10:10:00,296497,5966
2,Berlin,2020-12-23 10:10:00,89519,1066
3,Branden­burg,2020-12-23 10:10:00,34117,714
4,Bremen,2020-12-23 10:10:00,12765,175
5,Hamburg,2020-12-23 10:10:00,33308,561
6,Hessen,2020-12-23 10:10:00,125049,2296
7,Meck­lenburg- Vor­pommern,2020-12-23 10:10:00,10210,127
8,Nieder­sachsen,2020-12-23 10:10:00,96959,1702
9,Nord­rhein-West­falen,2020-12-23 10:10:00,362430,5608
10,Rhein­land-Pfalz,2020-12-23 10:10:00,65473,1137
11,Saarland,2020-12-23 10:10:00,18184,377
12,Sachsen,2020-12-23 10:10:00,111922,2409
13,Sachsen-Anhalt,2020-12-23 10:10:00,24249,458
14,Schles­wig-Holstein,2020-12-23 10:10:00,21855,348
15,Thüringen,2020-12-23 10:10:00,34919,757
16,Gesamt,2020-12-23 10:10:00,1554920,27968
