,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-17 10:10:00,272796,6071
1,Bayern,2021-01-17 10:10:00,374868,8690
2,Berlin,2021-01-17 10:10:00,112262,1823
3,Branden­burg,2021-01-17 10:10:00,56836,1595
4,Bremen,2021-01-17 10:10:00,14900,231
5,Hamburg,2021-01-17 10:10:00,42727,904
6,Hessen,2021-01-17 10:10:00,158544,3936
7,Meck­lenburg- Vor­pommern,2021-01-17 10:10:00,16614,298
8,Nieder­sachsen,2021-01-17 10:10:00,128015,2628
9,Nord­rhein-West­falen,2021-01-17 10:10:00,450721,9091
10,Rhein­land-Pfalz,2021-01-17 10:10:00,84639,2048
11,Saarland,2021-01-17 10:10:00,23132,608
12,Sachsen,2021-01-17 10:10:00,166572,5079
13,Sachsen-Anhalt,2021-01-17 10:10:00,42680,1133
14,Schles­wig-Holstein,2021-01-17 10:10:00,30956,651
15,Thüringen,2021-01-17 10:10:00,57256,1633
16,Gesamt,2021-01-17 10:10:00,2033518,46419
