,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-29 10:10:00,290457,6956
1,Bayern,2021-01-29 10:10:00,398573,10229
2,Berlin,2021-01-29 10:10:00,118955,2198
3,Branden­burg,2021-01-29 10:10:00,67144,2193
4,Bremen,2021-01-29 10:10:00,15747,265
5,Hamburg,2021-01-29 10:10:00,45576,1037
6,Hessen,2021-01-29 10:10:00,169960,4733
7,Meck­lenburg- Vor­pommern,2021-01-29 10:10:00,19435,423
8,Nieder­sachsen,2021-01-29 10:10:00,139925,3189
9,Nord­rhein-West­falen,2021-01-29 10:10:00,481042,10597
10,Rhein­land-Pfalz,2021-01-29 10:10:00,91711,2450
11,Saarland,2021-01-29 10:10:00,25232,720
12,Sachsen,2021-01-29 10:10:00,178330,6153
13,Sachsen-Anhalt,2021-01-29 10:10:00,50945,1653
14,Schles­wig-Holstein,2021-01-29 10:10:00,35426,834
15,Thüringen,2021-01-29 10:10:00,64392,2122
16,Gesamt,2021-01-29 10:10:00,2192850,55752
