,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-17 10:10:00,35177,1811
1,Bayern,2020-06-17 10:10:00,47710,2546
2,Berlin,2020-06-17 10:10:00,7402,209
3,Branden­burg,2020-06-17 10:10:00,3362,163
4,Bremen,2020-06-17 10:10:00,1607,49
5,Hamburg,2020-06-17 10:10:00,5149,257
6,Hessen,2020-06-17 10:10:00,10386,496
7,Meck­lenburg- Vor­pommern,2020-06-17 10:10:00,786,20
8,Nieder­sachsen,2020-06-17 10:10:00,12968,615
9,Nord­rhein-West­falen,2020-06-17 10:10:00,39573,1655
10,Rhein­land-Pfalz,2020-06-17 10:10:00,6856,233
11,Saarland,2020-06-17 10:10:00,2773,168
12,Sachsen,2020-06-17 10:10:00,5350,221
13,Sachsen-Anhalt,2020-06-17 10:10:00,1775,57
14,Schles­wig-Holstein,2020-06-17 10:10:00,3122,152
15,Thüringen,2020-06-17 10:10:00,3188,178
16,Gesamt,2020-06-17 10:10:00,187184,8830
