,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-16 10:10:00,36227,1838
1,Bayern,2020-07-16 10:10:00,49538,2613
2,Berlin,2020-07-16 10:10:00,8699,221
3,Branden­burg,2020-07-16 10:10:00,3466,167
4,Bremen,2020-07-16 10:10:00,1697,55
5,Hamburg,2020-07-16 10:10:00,5233,261
6,Hessen,2020-07-16 10:10:00,11283,514
7,Meck­lenburg- Vor­pommern,2020-07-16 10:10:00,805,20
8,Nieder­sachsen,2020-07-16 10:10:00,13887,643
9,Nord­rhein-West­falen,2020-07-16 10:10:00,45388,1711
10,Rhein­land-Pfalz,2020-07-16 10:10:00,7258,238
11,Saarland,2020-07-16 10:10:00,2824,174
12,Sachsen,2020-07-16 10:10:00,5484,225
13,Sachsen-Anhalt,2020-07-16 10:10:00,1926,62
14,Schles­wig-Holstein,2020-07-16 10:10:00,3235,154
15,Thüringen,2020-07-16 10:10:00,3310,182
16,Gesamt,2020-07-16 10:10:00,200260,9078
