,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-21 10:10:00,212221,3969
1,Bayern,2020-12-21 10:10:00,289760,5692
2,Berlin,2020-12-21 10:10:00,86884,1006
3,Branden­burg,2020-12-21 10:10:00,32379,658
4,Bremen,2020-12-21 10:10:00,12599,171
5,Hamburg,2020-12-21 10:10:00,32425,547
6,Hessen,2020-12-21 10:10:00,121962,2147
7,Meck­lenburg- Vor­pommern,2020-12-21 10:10:00,9796,119
8,Nieder­sachsen,2020-12-21 10:10:00,94996,1648
9,Nord­rhein-West­falen,2020-12-21 10:10:00,352719,5245
10,Rhein­land-Pfalz,2020-12-21 10:10:00,63586,1062
11,Saarland,2020-12-21 10:10:00,17732,360
12,Sachsen,2020-12-21 10:10:00,107014,2252
13,Sachsen-Anhalt,2020-12-21 10:10:00,22978,392
14,Schles­wig-Holstein,2020-12-21 10:10:00,20849,324
15,Thüringen,2020-12-21 10:10:00,32752,683
16,Gesamt,2020-12-21 10:10:00,1510652,26275
