,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-22 10:10:00,281393,6514
1,Bayern,2021-01-22 10:10:00,385784,9420
2,Berlin,2021-01-22 10:10:00,115506,1996
3,Branden­burg,2021-01-22 10:10:00,61997,1849
4,Bremen,2021-01-22 10:10:00,15248,248
5,Hamburg,2021-01-22 10:10:00,43919,962
6,Hessen,2021-01-22 10:10:00,163853,4318
7,Meck­lenburg- Vor­pommern,2021-01-22 10:10:00,17826,344
8,Nieder­sachsen,2021-01-22 10:10:00,133417,2900
9,Nord­rhein-West­falen,2021-01-22 10:10:00,464139,9773
10,Rhein­land-Pfalz,2021-01-22 10:10:00,87855,2216
11,Saarland,2021-01-22 10:10:00,23873,654
12,Sachsen,2021-01-22 10:10:00,171878,5517
13,Sachsen-Anhalt,2021-01-22 10:10:00,46137,1333
14,Schles­wig-Holstein,2021-01-22 10:10:00,32820,725
15,Thüringen,2021-01-22 10:10:00,60617,1873
16,Gesamt,2021-01-22 10:10:00,2106262,50642
