,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-10 10:10:00,44396,1868
1,Bayern,2020-09-10 10:10:00,60759,2644
2,Berlin,2020-09-10 10:10:00,11951,226
3,Branden­burg,2020-09-10 10:10:00,3966,169
4,Bremen,2020-09-10 10:10:00,2094,58
5,Hamburg,2020-09-10 10:10:00,6626,267
6,Hessen,2020-09-10 10:10:00,16500,537
7,Meck­lenburg- Vor­pommern,2020-09-10 10:10:00,1044,20
8,Nieder­sachsen,2020-09-10 10:10:00,17572,665
9,Nord­rhein-West­falen,2020-09-10 10:10:00,61201,1827
10,Rhein­land-Pfalz,2020-09-10 10:10:00,9560,245
11,Saarland,2020-09-10 10:10:00,3218,175
12,Sachsen,2020-09-10 10:10:00,6255,225
13,Sachsen-Anhalt,2020-09-10 10:10:00,2305,66
14,Schles­wig-Holstein,2020-09-10 10:10:00,4197,161
15,Thüringen,2020-09-10 10:10:00,3722,188
16,Gesamt,2020-09-10 10:10:00,255366,9341
