,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-28 16:10:00,35530,1829
1,Bayern,2020-06-28 16:10:00,48294,2592
2,Berlin,2020-06-28 16:10:00,8168,213
3,Branden­burg,2020-06-28 16:10:00,3417,165
4,Bremen,2020-06-28 16:10:00,1661,50
5,Hamburg,2020-06-28 16:10:00,5178,259
6,Hessen,2020-06-28 16:10:00,10761,506
7,Meck­lenburg- Vor­pommern,2020-06-28 16:10:00,801,20
8,Nieder­sachsen,2020-06-28 16:10:00,13478,628
9,Nord­rhein-West­falen,2020-06-28 16:10:00,42723,1674
10,Rhein­land-Pfalz,2020-06-28 16:10:00,6974,235
11,Saarland,2020-06-28 16:10:00,2805,173
12,Sachsen,2020-06-28 16:10:00,5444,222
13,Sachsen-Anhalt,2020-06-28 16:10:00,1868,58
14,Schles­wig-Holstein,2020-06-28 16:10:00,3147,152
15,Thüringen,2020-06-28 16:10:00,3250,181
16,Gesamt,2020-06-28 16:10:00,193499,8957
