,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-05 16:10:00,162349,2978
1,Bayern,2020-12-05 16:10:00,226357,4249
2,Berlin,2020-12-05 16:10:00,69768,657
3,Branden­burg,2020-12-05 16:10:00,21769,415
4,Bremen,2020-12-05 16:10:00,10632,133
5,Hamburg,2020-12-05 16:10:00,26272,407
6,Hessen,2020-12-05 16:10:00,94437,1441
7,Meck­lenburg- Vor­pommern,2020-12-05 16:10:00,6605,73
8,Nieder­sachsen,2020-12-05 16:10:00,76295,1256
9,Nord­rhein-West­falen,2020-12-05 16:10:00,281492,3892
10,Rhein­land-Pfalz,2020-12-05 16:10:00,48260,644
11,Saarland,2020-12-05 16:10:00,13643,268
12,Sachsen,2020-12-05 16:10:00,65830,1224
13,Sachsen-Anhalt,2020-12-05 16:10:00,14340,202
14,Schles­wig-Holstein,2020-12-05 16:10:00,15392,264
15,Thüringen,2020-12-05 16:10:00,20115,414
16,Gesamt,2020-12-05 16:10:00,1153556,18517
