,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-11 16:10:00,23617,622
1,Bayern,2020-04-11 16:10:00,31453,747
2,Berlin,2020-04-11 16:10:00,4458,46
3,Brandenburg,2020-04-11 16:10:00,1764,37
4,Bremen,2020-04-11 16:10:00,469,15
5,Hamburg,2020-04-11 16:10:00,3663,56
6,Hessen,2020-04-11 16:10:00,5808,120
7,Mecklenburg- Vor­pommern,2020-04-11 16:10:00,601,11
8,Niedersachsen,2020-04-11 16:10:00,7343,171
9,Nordrhein-West­falen,2020-04-11 16:10:00,23644,472
10,Rhein­land-Pfalz,2020-04-11 16:10:00,4622,59
11,Saarland,2020-04-11 16:10:00,2016,41
12,Sachsen,2020-04-11 16:10:00,3565,65
13,Sachsen-Anhalt,2020-04-11 16:10:00,1135,18
14,Schles­wig-Holstein,2020-04-11 16:10:00,2065,39
15,Thüringen,2020-04-11 16:10:00,1435,25
16,Gesamt,2020-04-11 16:10:00,117658,2544
