,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-10 10:10:00,174948,3229
1,Bayern,2020-12-10 10:10:00,243797,4621
2,Berlin,2020-12-10 10:10:00,74552,749
3,Branden­burg,2020-12-10 10:10:00,23892,444
4,Bremen,2020-12-10 10:10:00,11184,147
5,Hamburg,2020-12-10 10:10:00,27696,443
6,Hessen,2020-12-10 10:10:00,100900,1601
7,Meck­lenburg- Vor­pommern,2020-12-10 10:10:00,7351,88
8,Nieder­sachsen,2020-12-10 10:10:00,80894,1353
9,Nord­rhein-West­falen,2020-12-10 10:10:00,298431,4226
10,Rhein­land-Pfalz,2020-12-10 10:10:00,52149,759
11,Saarland,2020-12-10 10:10:00,14643,287
12,Sachsen,2020-12-10 10:10:00,75895,1428
13,Sachsen-Anhalt,2020-12-10 10:10:00,16439,242
14,Schles­wig-Holstein,2020-12-10 10:10:00,16575,276
15,Thüringen,2020-12-10 10:10:00,22857,479
16,Gesamt,2020-12-10 10:10:00,1242203,20372
