,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-16 10:10:00,35150,1808
1,Bayern,2020-06-16 10:10:00,47690,2540
2,Berlin,2020-06-16 10:10:00,7369,208
3,Branden­burg,2020-06-16 10:10:00,3334,163
4,Bremen,2020-06-16 10:10:00,1593,48
5,Hamburg,2020-06-16 10:10:00,5147,255
6,Hessen,2020-06-16 10:10:00,10371,495
7,Meck­lenburg- Vor­pommern,2020-06-16 10:10:00,784,20
8,Nieder­sachsen,2020-06-16 10:10:00,12950,614
9,Nord­rhein-West­falen,2020-06-16 10:10:00,39415,1648
10,Rhein­land-Pfalz,2020-06-16 10:10:00,6846,231
11,Saarland,2020-06-16 10:10:00,2773,168
12,Sachsen,2020-06-16 10:10:00,5349,220
13,Sachsen-Anhalt,2020-06-16 10:10:00,1771,57
14,Schles­wig-Holstein,2020-06-16 10:10:00,3122,151
15,Thüringen,2020-06-16 10:10:00,3175,174
16,Gesamt,2020-06-16 10:10:00,186839,8800
