,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-18 16:10:00,46428,1869
1,Bayern,2020-09-18 16:10:00,63918,2648
2,Berlin,2020-09-18 16:10:00,12733,227
3,Branden­burg,2020-09-18 16:10:00,4060,169
4,Bremen,2020-09-18 16:10:00,2177,59
5,Hamburg,2020-09-18 16:10:00,7010,269
6,Hessen,2020-09-18 16:10:00,17342,543
7,Meck­lenburg- Vor­pommern,2020-09-18 16:10:00,1093,20
8,Nieder­sachsen,2020-09-18 16:10:00,18529,667
9,Nord­rhein-West­falen,2020-09-18 16:10:00,64084,1842
10,Rhein­land-Pfalz,2020-09-18 16:10:00,9990,247
11,Saarland*,2020-09-18 16:10:00,3214,176
12,Sachsen,2020-09-18 16:10:00,6581,226
13,Sachsen-Anhalt,2020-09-18 16:10:00,2380,66
14,Schles­wig-Holstein,2020-09-18 16:10:00,4350,161
15,Thüringen,2020-09-18 16:10:00,3884,189
16,Gesamt,2020-09-18 16:10:00,267773,9378
