,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-26 16:10:00,139768,2580
1,Bayern,2020-11-26 16:10:00,193533,3647
2,Berlin,2020-11-26 16:10:00,60554,508
3,Branden­burg,2020-11-26 16:10:00,17011,307
4,Bremen,2020-11-26 16:10:00,9642,114
5,Hamburg*,2020-11-26 16:10:00,23330,347
6,Hessen,2020-11-26 16:10:00,81327,1163
7,Meck­lenburg- Vor­pommern,2020-11-26 16:10:00,5510,57
8,Nieder­sachsen,2020-11-26 16:10:00,66802,1079
9,Nord­rhein-West­falen,2020-11-26 16:10:00,245871,3210
10,Rhein­land-Pfalz,2020-11-26 16:10:00,40847,465
11,Saarland,2020-11-26 16:10:00,11960,249
12,Sachsen,2020-11-26 16:10:00,47690,720
13,Sachsen-Anhalt,2020-11-26 16:10:00,10930,145
14,Schles­wig-Holstein,2020-11-26 16:10:00,13564,242
15,Thüringen,2020-11-26 16:10:00,15249,327
16,Gesamt,2020-11-26 16:10:00,983588,15160
