,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-07 10:10:00,35862,1837
1,Bayern,2020-07-07 10:10:00,48852,2606
2,Berlin,2020-07-07 10:10:00,8462,215
3,Branden­burg,2020-07-07 10:10:00,3468,168
4,Bremen,2020-07-07 10:10:00,1679,54
5,Hamburg,2020-07-07 10:10:00,5223,261
6,Hessen,2020-07-07 10:10:00,10985,512
7,Meck­lenburg- Vor­pommern,2020-07-07 10:10:00,805,20
8,Nieder­sachsen,2020-07-07 10:10:00,13731,637
9,Nord­rhein-West­falen,2020-07-07 10:10:00,44158,1689
10,Rhein­land-Pfalz,2020-07-07 10:10:00,7094,235
11,Saarland,2020-07-07 10:10:00,2806,174
12,Sachsen,2020-07-07 10:10:00,5459,224
13,Sachsen-Anhalt,2020-07-07 10:10:00,1894,59
14,Schles­wig-Holstein,2020-07-07 10:10:00,3189,152
15,Thüringen,2020-07-07 10:10:00,3277,181
16,Gesamt,2020-07-07 10:10:00,196944,9024
