,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-09 10:10:00,34958,1795
1,Bayern,2020-06-09 10:10:00,47423,2521
2,Berlin,2020-06-09 10:10:00,7042,205
3,Branden­burg,2020-06-09 10:10:00,3302,160
4,Bremen,2020-06-09 10:10:00,1532,43
5,Hamburg,2020-06-09 10:10:00,5117,254
6,Hessen,2020-06-09 10:10:00,10237,484
7,Meck­lenburg- Vor­pommern,2020-06-09 10:10:00,780,20
8,Nieder­sachsen,2020-06-09 10:10:00,12601,606
9,Nord­rhein-West­falen,2020-06-09 10:10:00,38743,1635
10,Rhein­land-Pfalz,2020-06-09 10:10:00,6787,230
11,Saarland,2020-06-09 10:10:00,2754,167
12,Sachsen,2020-06-09 10:10:00,5333,217
13,Sachsen-Anhalt,2020-06-09 10:10:00,1720,56
14,Schles­wig-Holstein,2020-06-09 10:10:00,3114,148
15,Thüringen,2020-06-09 10:10:00,3100,170
16,Gesamt,2020-06-09 10:10:00,184543,8711
