,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-20 16:10:00,46935,1871
1,Bayern,2020-09-20 16:10:00,64625,2648
2,Berlin,2020-09-20 16:10:00,13065,227
3,Branden­burg,2020-09-20 16:10:00,4088,169
4,Bremen,2020-09-20 16:10:00,2215,59
5,Hamburg,2020-09-20 16:10:00,7150,269
6,Hessen,2020-09-20 16:10:00,17586,544
7,Meck­lenburg- Vor­pommern,2020-09-20 16:10:00,1105,20
8,Nieder­sachsen,2020-09-20 16:10:00,18791,669
9,Nord­rhein-West­falen,2020-09-20 16:10:00,65078,1845
10,Rhein­land-Pfalz,2020-09-20 16:10:00,10085,247
11,Saarland,2020-09-20 16:10:00,3232,176
12,Sachsen,2020-09-20 16:10:00,6679,226
13,Sachsen-Anhalt,2020-09-20 16:10:00,2443,66
14,Schles­wig-Holstein,2020-09-20 16:10:00,4405,161
15,Thüringen,2020-09-20 16:10:00,3933,189
16,Gesamt,2020-09-20 16:10:00,271415,9386
