,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-21 10:10:00,47107,1871
1,Bayern,2020-09-21 10:10:00,64919,2648
2,Berlin,2020-09-21 10:10:00,13109,227
3,Branden­burg,2020-09-21 10:10:00,4090,169
4,Bremen,2020-09-21 10:10:00,2219,59
5,Hamburg,2020-09-21 10:10:00,7165,269
6,Hessen,2020-09-21 10:10:00,17637,544
7,Meck­lenburg- Vor­pommern*,2020-09-21 10:10:00,1105,20
8,Nieder­sachsen,2020-09-21 10:10:00,18900,669
9,Nord­rhein-West­falen,2020-09-21 10:10:00,65232,1845
10,Rhein­land-Pfalz,2020-09-21 10:10:00,10116,247
11,Saarland,2020-09-21 10:10:00,3234,176
12,Sachsen,2020-09-21 10:10:00,6692,226
13,Sachsen-Anhalt,2020-09-21 10:10:00,2453,66
14,Schles­wig-Holstein,2020-09-21 10:10:00,4421,161
15,Thüringen,2020-09-21 10:10:00,3938,189
16,Gesamt,2020-09-21 10:10:00,272337,9386
