,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-16 10:10:00,271976,6050
1,Bayern,2021-01-16 10:10:00,372696,8639
2,Berlin,2021-01-16 10:10:00,111730,1800
3,Branden­burg,2021-01-16 10:10:00,56036,1549
4,Bremen,2021-01-16 10:10:00,14796,230
5,Hamburg,2021-01-16 10:10:00,42349,895
6,Hessen,2021-01-16 10:10:00,157255,3907
7,Meck­lenburg- Vor­pommern,2021-01-16 10:10:00,16361,296
8,Nieder­sachsen,2021-01-16 10:10:00,127115,2604
9,Nord­rhein-West­falen,2021-01-16 10:10:00,447493,9033
10,Rhein­land-Pfalz,2021-01-16 10:10:00,84229,2035
11,Saarland,2021-01-16 10:10:00,22939,606
12,Sachsen,2021-01-16 10:10:00,165292,4982
13,Sachsen-Anhalt,2021-01-16 10:10:00,42249,1089
14,Schles­wig-Holstein,2021-01-16 10:10:00,30581,648
15,Thüringen,2021-01-16 10:10:00,56539,1611
16,Gesamt,2021-01-16 10:10:00,2019636,45974
