,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-26 16:10:00,36819,1841
1,Bayern,2020-07-26 16:10:00,50282,2619
2,Berlin,2020-07-26 16:10:00,8991,223
3,Branden­burg,2020-07-26 16:10:00,3524,168
4,Bremen,2020-07-26 16:10:00,1746,55
5,Hamburg,2020-07-26 16:10:00,5304,261
6,Hessen,2020-07-26 16:10:00,11680,518
7,Meck­lenburg- Vor­pommern,2020-07-26 16:10:00,843,20
8,Nieder­sachsen,2020-07-26 16:10:00,14223,648
9,Nord­rhein-West­falen,2020-07-26 16:10:00,47430,1728
10,Rhein­land-Pfalz,2020-07-26 16:10:00,7420,238
11,Saarland,2020-07-26 16:10:00,2850,174
12,Sachsen,2020-07-26 16:10:00,5512,225
13,Sachsen-Anhalt,2020-07-26 16:10:00,1986,63
14,Schles­wig-Holstein,2020-07-26 16:10:00,3318,155
15,Thüringen,2020-07-26 16:10:00,3341,182
16,Gesamt,2020-07-26 16:10:00,205269,9118
