,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-05 16:10:00,35807,1837
1,Bayern,2020-07-05 16:10:00,48665,2600
2,Berlin,2020-07-05 16:10:00,8434,215
3,Branden­burg,2020-07-05 16:10:00,3460,167
4,Bremen,2020-07-05 16:10:00,1678,53
5,Hamburg,2020-07-05 16:10:00,5220,261
6,Hessen,2020-07-05 16:10:00,10939,512
7,Meck­lenburg- Vor­pommern,2020-07-05 16:10:00,804,20
8,Nieder­sachsen,2020-07-05 16:10:00,13664,635
9,Nord­rhein-West­falen,2020-07-05 16:10:00,43990,1687
10,Rhein­land-Pfalz,2020-07-05 16:10:00,7080,235
11,Saarland,2020-07-05 16:10:00,2805,174
12,Sachsen,2020-07-05 16:10:00,5458,224
13,Sachsen-Anhalt,2020-07-05 16:10:00,1880,59
14,Schles­wig-Holstein,2020-07-05 16:10:00,3181,152
15,Thüringen,2020-07-05 16:10:00,3270,181
16,Gesamt,2020-07-05 16:10:00,196335,9012
