,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-25 10:10:00,35446,1827
1,Bayern,2020-06-25 10:10:00,48122,2583
2,Berlin,2020-06-25 10:10:00,8021,212
3,Branden­burg,2020-06-25 10:10:00,3428,165
4,Bremen,2020-06-25 10:10:00,1653,49
5,Hamburg,2020-06-25 10:10:00,5175,259
6,Hessen,2020-06-25 10:10:00,10666,505
7,Meck­lenburg- Vor­pommern,2020-06-25 10:10:00,796,20
8,Nieder­sachsen,2020-06-25 10:10:00,13378,623
9,Nord­rhein-West­falen,2020-06-25 10:10:00,41992,1669
10,Rhein­land-Pfalz,2020-06-25 10:10:00,6940,235
11,Saarland,2020-06-25 10:10:00,2801,169
12,Sachsen,2020-06-25 10:10:00,5438,223
13,Sachsen-Anhalt,2020-06-25 10:10:00,1858,58
14,Schles­wig-Holstein,2020-06-25 10:10:00,3140,152
15,Thüringen,2020-06-25 10:10:00,3225,178
16,Gesamt,2020-06-25 10:10:00,192079,8927
