,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-26 10:10:00,35476,1830
1,Bayern,2020-06-26 10:10:00,48202,2594
2,Berlin,2020-06-26 10:10:00,8096,212
3,Branden­burg,2020-06-26 10:10:00,3437,165
4,Bremen,2020-06-26 10:10:00,1658,49
5,Hamburg,2020-06-26 10:10:00,5173,259
6,Hessen,2020-06-26 10:10:00,10707,505
7,Meck­lenburg- Vor­pommern,2020-06-26 10:10:00,797,20
8,Nieder­sachsen,2020-06-26 10:10:00,13422,625
9,Nord­rhein-West­falen,2020-06-26 10:10:00,42150,1673
10,Rhein­land-Pfalz,2020-06-26 10:10:00,6951,235
11,Saarland,2020-06-26 10:10:00,2802,171
12,Sachsen,2020-06-26 10:10:00,5439,222
13,Sachsen-Anhalt,2020-06-26 10:10:00,1862,58
14,Schles­wig-Holstein,2020-06-26 10:10:00,3144,152
15,Thüringen,2020-06-26 10:10:00,3240,178
16,Gesamt,2020-06-26 10:10:00,192556,8948
