,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-15 10:10:00,45323,1868
1,Bayern,2020-09-15 10:10:00,62401,2647
2,Berlin,2020-09-15 10:10:00,12354,226
3,Branden­burg,2020-09-15 10:10:00,4016,169
4,Bremen,2020-09-15 10:10:00,2137,59
5,Hamburg,2020-09-15 10:10:00,6846,268
6,Hessen,2020-09-15 10:10:00,16985,540
7,Meck­lenburg- Vor­pommern,2020-09-15 10:10:00,1064,20
8,Nieder­sachsen,2020-09-15 10:10:00,18023,667
9,Nord­rhein-West­falen,2020-09-15 10:10:00,62725,1834
10,Rhein­land-Pfalz,2020-09-15 10:10:00,9795,247
11,Saarland,2020-09-15 10:10:00,3234,175
12,Sachsen,2020-09-15 10:10:00,6430,226
13,Sachsen-Anhalt,2020-09-15 10:10:00,2359,66
14,Schles­wig-Holstein,2020-09-15 10:10:00,4255,161
15,Thüringen,2020-09-15 10:10:00,3815,189
16,Gesamt,2020-09-15 10:10:00,261762,9362
