,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-15 10:10:00,36162,1838
1,Bayern,2020-07-15 10:10:00,49427,2613
2,Berlin,2020-07-15 10:10:00,8674,220
3,Branden­burg,2020-07-15 10:10:00,3465,167
4,Bremen,2020-07-15 10:10:00,1691,55
5,Hamburg,2020-07-15 10:10:00,5231,261
6,Hessen,2020-07-15 10:10:00,11217,514
7,Meck­lenburg- Vor­pommern,2020-07-15 10:10:00,804,20
8,Nieder­sachsen,2020-07-15 10:10:00,13848,642
9,Nord­rhein-West­falen,2020-07-15 10:10:00,45233,1708
10,Rhein­land-Pfalz,2020-07-15 10:10:00,7222,236
11,Saarland,2020-07-15 10:10:00,2823,174
12,Sachsen,2020-07-15 10:10:00,5478,225
13,Sachsen-Anhalt,2020-07-15 10:10:00,1921,62
14,Schles­wig-Holstein,2020-07-15 10:10:00,3229,154
15,Thüringen,2020-07-15 10:10:00,3301,182
16,Gesamt,2020-07-15 10:10:00,199726,9071
