,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-19 16:10:00,27883,968
1,Bayern,2020-04-19 16:10:00,37407,1256
2,Berlin,2020-04-19 16:10:00,5159,92
3,Brandenburg,2020-04-19 16:10:00,2221,66
4,Bremen,2020-04-19 16:10:00,585,25
5,Hamburg,2020-04-19 16:10:00,4167,91
6,Hessen,2020-04-19 16:10:00,7108,230
7,Mecklenburg- Vor­pommern,2020-04-19 16:10:00,651,15
8,Niedersachsen,2020-04-19 16:10:00,8797,288
9,Nordrhein-West­falen,2020-04-19 16:10:00,28471,814
10,Rhein­land-Pfalz,2020-04-19 16:10:00,5432,106
11,Saarland,2020-04-19 16:10:00,2303,91
12,Sachsen,2020-04-19 16:10:00,4190,107
13,Sachsen-Anhalt,2020-04-19 16:10:00,1350,30
14,Schles­wig-Holstein,2020-04-19 16:10:00,2417,62
15,Thüringen,2020-04-19 16:10:00,1756,53
16,Gesamt,2020-04-19 16:10:00,139897,4294
