,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-24 10:10:00,35409,1826
1,Bayern,2020-06-24 10:10:00,47995,2578
2,Berlin,2020-06-24 10:10:00,7975,211
3,Branden­burg,2020-06-24 10:10:00,3413,164
4,Bremen,2020-06-24 10:10:00,1653,49
5,Hamburg,2020-06-24 10:10:00,5175,259
6,Hessen,2020-06-24 10:10:00,10645,503
7,Meck­lenburg- Vor­pommern,2020-06-24 10:10:00,794,20
8,Nieder­sachsen,2020-06-24 10:10:00,13327,622
9,Nord­rhein-West­falen,2020-06-24 10:10:00,41678,1668
10,Rhein­land-Pfalz,2020-06-24 10:10:00,6924,235
11,Saarland,2020-06-24 10:10:00,2801,169
12,Sachsen,2020-06-24 10:10:00,5436,222
13,Sachsen-Anhalt,2020-06-24 10:10:00,1856,58
14,Schles­wig-Holstein,2020-06-24 10:10:00,3137,152
15,Thüringen,2020-06-24 10:10:00,3231,178
16,Gesamt,2020-06-24 10:10:00,191449,8914
