,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-07 10:10:00,32762,1497
1,Bayern,2020-05-07 10:10:00,43658,2050
2,Berlin,2020-05-07 10:10:00,6149,162
3,Brandenburg,2020-05-07 10:10:00,2999,129
4,Bremen,2020-05-07 10:10:00,963,32
5,Hamburg,2020-05-07 10:10:00,4704,194
6,Hessen,2020-05-07 10:10:00,8736,396
7,Mecklenburg- Vor­pommern,2020-05-07 10:10:00,715,19
8,Niedersachsen,2020-05-07 10:10:00,10564,478
9,Nordrhein-West­falen,2020-05-07 10:10:00,34249,1372
10,Rhein­land-Pfalz,2020-05-07 10:10:00,6213,189
11,Saarland,2020-05-07 10:10:00,2655,143
12,Sachsen,2020-05-07 10:10:00,4836,181
13,Sachsen-Anhalt,2020-05-07 10:10:00,1602,48
14,Schles­wig-Holstein,2020-05-07 10:10:00,2834,120
15,Thüringen,2020-05-07 10:10:00,2452,109
16,Gesamt,2020-05-07 10:10:00,166091,7119
