,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-15 16:10:00,115670,2258
1,Bayern,2020-11-15 16:10:00,156421,3133
2,Berlin,2020-11-15 16:10:00,47265,358
3,Branden­burg,2020-11-15 16:10:00,12636,238
4,Bremen,2020-11-15 16:10:00,8153,94
5,Hamburg,2020-11-15 16:10:00,19977,311
6,Hessen,2020-11-15 16:10:00,64393,864
7,Meck­lenburg- Vor­pommern,2020-11-15 16:10:00,4397,38
8,Nieder­sachsen,2020-11-15 16:10:00,55325,903
9,Nord­rhein-West­falen,2020-11-15 16:10:00,200063,2623
10,Rhein­land-Pfalz,2020-11-15 16:10:00,32013,362
11,Saarland,2020-11-15 16:10:00,10110,214
12,Sachsen,2020-11-15 16:10:00,33924,511
13,Sachsen-Anhalt,2020-11-15 16:10:00,8040,105
14,Schles­wig-Holstein,2020-11-15 16:10:00,11361,219
15,Thüringen,2020-11-15 16:10:00,10755,254
16,Gesamt,2020-11-15 16:10:00,790503,12485
