,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-24 10:10:00,34399,1697
1,Bayern,2020-05-24 10:10:00,46206,2377
2,Berlin,2020-05-24 10:10:00,6637,191
3,Brandenburg,2020-05-24 10:10:00,3214,154
4,Bremen,2020-05-24 10:10:00,1299,41
5,Hamburg,2020-05-24 10:10:00,5066,241
6,Hessen,2020-05-24 10:10:00,9762,460
7,Mecklenburg- Vor­pommern,2020-05-24 10:10:00,760,20
8,Niedersachsen,2020-05-24 10:10:00,11578,572
9,Nordrhein-West­falen,2020-05-24 10:10:00,37223,1563
10,Rhein­land-Pfalz,2020-05-24 10:10:00,6590,227
11,Saarland,2020-05-24 10:10:00,2713,157
12,Sachsen,2020-05-24 10:10:00,5221,204
13,Sachsen-Anhalt,2020-05-24 10:10:00,1694,54
14,Schles­wig-Holstein,2020-05-24 10:10:00,3062,137
15,Thüringen,2020-05-24 10:10:00,2857,152
16,Gesamt,2020-05-24 10:10:00,178281,8247
