,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-16 10:10:00,33893,1644
1,Bayern,2020-05-16 10:10:00,45340,2273
2,Berlin,2020-05-16 10:10:00,6428,181
3,Brandenburg,2020-05-16 10:10:00,3169,149
4,Bremen,2020-05-16 10:10:00,1150,37
5,Hamburg,2020-05-16 10:10:00,5017,231
6,Hessen,2020-05-16 10:10:00,9261,432
7,Mecklenburg- Vor­pommern,2020-05-16 10:10:00,746,20
8,Niedersachsen,2020-05-16 10:10:00,11092,535
9,Nordrhein-West­falen,2020-05-16 10:10:00,36065,1500
10,Rhein­land-Pfalz,2020-05-16 10:10:00,6449,216
11,Saarland,2020-05-16 10:10:00,2688,149
12,Sachsen,2020-05-16 10:10:00,5089,197
13,Sachsen-Anhalt,2020-05-16 10:10:00,1676,54
14,Schles­wig-Holstein,2020-05-16 10:10:00,2998,126
15,Thüringen,2020-05-16 10:10:00,2711,137
16,Gesamt,2020-05-16 10:10:00,173772,7881
