,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-06 10:10:00,93264,2092
1,Bayern,2020-11-06 10:10:00,123225,2885
2,Berlin,2020-11-06 10:10:00,37357,287
3,Branden­burg,2020-11-06 10:10:00,9560,208
4,Bremen,2020-11-06 10:10:00,6599,81
5,Hamburg,2020-11-06 10:10:00,15778,298
6,Hessen,2020-11-06 10:10:00,49327,729
7,Meck­lenburg- Vor­pommern,2020-11-06 10:10:00,3415,24
8,Nieder­sachsen,2020-11-06 10:10:00,42707,802
9,Nord­rhein-West­falen,2020-11-06 10:10:00,159027,2297
10,Rhein­land-Pfalz,2020-11-06 10:10:00,24320,310
11,Saarland,2020-11-06 10:10:00,7765,198
12,Sachsen,2020-11-06 10:10:00,22957,386
13,Sachsen-Anhalt,2020-11-06 10:10:00,6170,88
14,Schles­wig-Holstein,2020-11-06 10:10:00,9316,194
15,Thüringen,2020-11-06 10:10:00,8302,217
16,Gesamt,2020-11-06 10:10:00,619089,11096
