,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-21 10:10:00,34175,1680
1,Bayern,2020-05-21 10:10:00,45929,2348
2,Berlin,2020-05-21 10:10:00,6555,186
3,Brandenburg,2020-05-21 10:10:00,3205,151
4,Bremen,2020-05-21 10:10:00,1273,39
5,Hamburg,2020-05-21 10:10:00,5053,239
6,Hessen,2020-05-21 10:10:00,9574,451
7,Mecklenburg- Vor­pommern,2020-05-21 10:10:00,762,20
8,Niedersachsen,2020-05-21 10:10:00,11362,566
9,Nordrhein-West­falen,2020-05-21 10:10:00,36912,1546
10,Rhein­land-Pfalz,2020-05-21 10:10:00,6555,224
11,Saarland,2020-05-21 10:10:00,2706,157
12,Sachsen,2020-05-21 10:10:00,5185,201
13,Sachsen-Anhalt,2020-05-21 10:10:00,1689,54
14,Schles­wig-Holstein,2020-05-21 10:10:00,3021,134
15,Thüringen,2020-05-21 10:10:00,2796,151
16,Gesamt,2020-05-21 10:10:00,176752,8147
