,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-05 16:10:00,43259,1865
1,Bayern,2020-09-05 16:10:00,58692,2641
2,Berlin,2020-09-05 16:10:00,11623,226
3,Branden­burg,2020-09-05 16:10:00,3923,169
4,Bremen,2020-09-05 16:10:00,2056,58
5,Hamburg,2020-09-05 16:10:00,6451,267
6,Hessen,2020-09-05 16:10:00,15978,535
7,Meck­lenburg- Vor­pommern,2020-09-05 16:10:00,1023,20
8,Nieder­sachsen,2020-09-05 16:10:00,17210,665
9,Nord­rhein-West­falen,2020-09-05 16:10:00,60085,1823
10,Rhein­land-Pfalz,2020-09-05 16:10:00,9305,243
11,Saarland,2020-09-05 16:10:00,3189,174
12,Sachsen,2020-09-05 16:10:00,6138,225
13,Sachsen-Anhalt,2020-09-05 16:10:00,2274,66
14,Schles­wig-Holstein,2020-09-05 16:10:00,4115,161
15,Thüringen,2020-09-05 16:10:00,3676,186
16,Gesamt,2020-09-05 16:10:00,248997,9324
