,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-20 10:10:00,277126,6324
1,Bayern,2021-01-20 10:10:00,380295,9106
2,Berlin,2021-01-20 10:10:00,113875,1918
3,Branden­burg,2021-01-20 10:10:00,59485,1738
4,Bremen,2021-01-20 10:10:00,15027,239
5,Hamburg,2021-01-20 10:10:00,43328,935
6,Hessen,2021-01-20 10:10:00,160738,4190
7,Meck­lenburg- Vor­pommern,2021-01-20 10:10:00,17170,324
8,Nieder­sachsen,2021-01-20 10:10:00,130467,2768
9,Nord­rhein-West­falen,2021-01-20 10:10:00,456855,9473
10,Rhein­land-Pfalz,2021-01-20 10:10:00,86124,2145
11,Saarland,2021-01-20 10:10:00,23420,632
12,Sachsen,2021-01-20 10:10:00,168943,5307
13,Sachsen-Anhalt,2021-01-20 10:10:00,44494,1247
14,Schles­wig-Holstein,2021-01-20 10:10:00,31842,691
15,Thüringen,2021-01-20 10:10:00,58813,1733
16,Gesamt,2021-01-20 10:10:00,2068002,48770
