,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-26 10:57:00,34466,1707
1,Bayern,2020-05-26 10:57:00,46456,2401
2,Berlin,2020-05-26 10:57:00,6652,191
3,Branden-burg,2020-05-26 10:57:00,3236,154
4,Bremen,2020-05-26 10:57:00,1313,42
5,Hamburg,2020-05-26 10:57:00,5069,241
6,Hessen,2020-05-26 10:57:00,9804,462
7,Meck-lenburg- Vor­pommern,2020-05-26 10:57:00,760,20
8,Nieder-sachsen,2020-05-26 10:57:00,11646,574
9,Nord-rhein-West­falen,2020-05-26 10:57:00,37395,1571
10,Rhein­land-Pfalz,2020-05-26 10:57:00,6600,228
11,Saarland,2020-05-26 10:57:00,2727,158
12,Sachsen,2020-05-26 10:57:00,5236,207
13,Sachsen-Anhalt,2020-05-26 10:57:00,1698,54
14,Schles­wig-Holstein,2020-05-26 10:57:00,3067,139
15,Thüringen,2020-05-26 10:57:00,2877,153
16,Gesamt,2020-05-26 10:57:00,179002,8302
