,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-24 16:10:00,284407,6618
1,Bayern,2021-01-24 16:10:00,389998,9642
2,Berlin,2021-01-24 16:10:00,116582,2039
3,Branden­burg,2021-01-24 16:10:00,63068,1908
4,Bremen,2021-01-24 16:10:00,15402,251
5,Hamburg,2021-01-24 16:10:00,44453,987
6,Hessen,2021-01-24 16:10:00,165873,4388
7,Meck­lenburg- Vor­pommern,2021-01-24 16:10:00,18349,363
8,Nieder­sachsen,2021-01-24 16:10:00,135765,2964
9,Nord­rhein-West­falen,2021-01-24 16:10:00,470082,9941
10,Rhein­land-Pfalz,2021-01-24 16:10:00,88977,2279
11,Saarland,2021-01-24 16:10:00,24249,686
12,Sachsen,2021-01-24 16:10:00,174186,5722
13,Sachsen-Anhalt,2021-01-24 16:10:00,47925,1425
14,Schles­wig-Holstein,2021-01-24 16:10:00,33722,744
15,Thüringen,2021-01-24 16:10:00,61898,1913
16,Gesamt,2021-01-24 16:10:00,2134936,51870
