,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-13 10:10:00,36041,1837
1,Bayern,2020-07-13 10:10:00,49273,2612
2,Berlin,2020-07-13 10:10:00,8638,217
3,Branden­burg,2020-07-13 10:10:00,3462,168
4,Bremen,2020-07-13 10:10:00,1690,55
5,Hamburg,2020-07-13 10:10:00,5231,261
6,Hessen,2020-07-13 10:10:00,11169,514
7,Meck­lenburg- Vor­pommern,2020-07-13 10:10:00,804,20
8,Nieder­sachsen,2020-07-13 10:10:00,13806,642
9,Nord­rhein-West­falen,2020-07-13 10:10:00,44974,1705
10,Rhein­land-Pfalz,2020-07-13 10:10:00,7174,236
11,Saarland,2020-07-13 10:10:00,2812,174
12,Sachsen,2020-07-13 10:10:00,5473,225
13,Sachsen-Anhalt,2020-07-13 10:10:00,1917,62
14,Schles­wig-Holstein,2020-07-13 10:10:00,3207,154
15,Thüringen,2020-07-13 10:10:00,3292,182
16,Gesamt,2020-07-13 10:10:00,198963,9064
