,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-29 10:10:00,231686,4587
1,Bayern,2020-12-29 10:10:00,314934,6398
2,Berlin,2020-12-29 10:10:00,94442,1172
3,Branden­burg,2020-12-29 10:10:00,37820,814
4,Bremen,2020-12-29 10:10:00,13259,186
5,Hamburg,2020-12-29 10:10:00,35484,598
6,Hessen,2020-12-29 10:10:00,132204,2582
7,Meck­lenburg- Vor­pommern,2020-12-29 10:10:00,11168,152
8,Nieder­sachsen,2020-12-29 10:10:00,103750,1851
9,Nord­rhein-West­falen,2020-12-29 10:10:00,383008,6227
10,Rhein­land-Pfalz,2020-12-29 10:10:00,70024,1328
11,Saarland,2020-12-29 10:10:00,19341,412
12,Sachsen,2020-12-29 10:10:00,126421,2838
13,Sachsen-Anhalt,2020-12-29 10:10:00,27754,532
14,Schles­wig-Holstein,2020-12-29 10:10:00,23784,394
15,Thüringen,2020-12-29 10:10:00,39647,907
16,Gesamt,2020-12-29 10:10:00,1664726,30978
