,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-15 10:10:00,25438,767
1,Bayern,2020-04-15 10:10:00,34294,954
2,Berlin,2020-04-15 10:10:00,4722,62
3,Brandenburg,2020-04-15 10:10:00,1950,42
4,Bremen,2020-04-15 10:10:00,500,21
5,Hamburg,2020-04-15 10:10:00,3869,67
6,Hessen,2020-04-15 10:10:00,6347,173
7,Mecklenburg- Vor­pommern,2020-04-15 10:10:00,624,11
8,Niedersachsen,2020-04-15 10:10:00,8019,224
9,Nordrhein-West­falen,2020-04-15 10:10:00,25835,607
10,Rhein­land-Pfalz,2020-04-15 10:10:00,5004,77
11,Saarland,2020-04-15 10:10:00,2145,58
12,Sachsen,2020-04-15 10:10:00,3819,73
13,Sachsen-Anhalt,2020-04-15 10:10:00,1223,26
14,Schles­wig-Holstein,2020-04-15 10:10:00,2245,54
15,Thüringen,2020-04-15 10:10:00,1550,38
16,Gesamt,2020-04-15 10:10:00,127584,3254
