,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-15 16:10:00,33851,1628
1,Bayern,2020-05-15 16:10:00,45143,2260
2,Berlin,2020-05-15 16:10:00,6397,177
3,Brandenburg,2020-05-15 16:10:00,3158,148
4,Bremen,2020-05-15 16:10:00,1129,37
5,Hamburg,2020-05-15 16:10:00,4981,228
6,Hessen,2020-05-15 16:10:00,9204,429
7,Mecklenburg- Vor­pommern,2020-05-15 16:10:00,740,20
8,Niedersachsen,2020-05-15 16:10:00,11087,534
9,Nordrhein-West­falen,2020-05-15 16:10:00,35967,1493
10,Rhein­land-Pfalz,2020-05-15 16:10:00,6413,213
11,Saarland,2020-05-15 16:10:00,2684,147
12,Sachsen,2020-05-15 16:10:00,5061,195
13,Sachsen-Anhalt,2020-05-15 16:10:00,1668,54
14,Schles­wig-Holstein,2020-05-15 16:10:00,2988,126
15,Thüringen,2020-05-15 16:10:00,2681,135
16,Gesamt,2020-05-15 16:10:00,173152,7824
