,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-11-22 10:10:00,132011,2441
1,Bayern,2020-11-22 10:10:00,181001,3426
2,Berlin,2020-11-22 10:10:00,56068,447
3,Branden­burg,2020-11-22 10:10:00,15315,277
4,Bremen,2020-11-22 10:10:00,9212,106
5,Hamburg,2020-11-22 10:10:00,22531,336
6,Hessen,2020-11-22 10:10:00,75789,1027
7,Meck­lenburg- Vor­pommern,2020-11-22 10:10:00,5154,53
8,Nieder­sachsen,2020-11-22 10:10:00,62553,1004
9,Nord­rhein-West­falen,2020-11-22 10:10:00,230976,2956
10,Rhein­land-Pfalz,2020-11-22 10:10:00,37587,416
11,Saarland,2020-11-22 10:10:00,11345,236
12,Sachsen,2020-11-22 10:10:00,42597,648
13,Sachsen-Anhalt,2020-11-22 10:10:00,9791,122
14,Schles­wig-Holstein,2020-11-22 10:10:00,12791,234
15,Thüringen,2020-11-22 10:10:00,13548,293
16,Gesamt,2020-11-22 10:10:00,918269,14022
