,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-06-15 10:10:00,35090,1805
1,Bayern,2020-06-15 10:10:00,47642,2541
2,Berlin,2020-06-15 10:10:00,7322,208
3,Branden­burg,2020-06-15 10:10:00,3329,163
4,Bremen,2020-06-15 10:10:00,1592,48
5,Hamburg,2020-06-15 10:10:00,5144,255
6,Hessen,2020-06-15 10:10:00,10324,491
7,Meck­lenburg- Vor­pommern,2020-06-15 10:10:00,782,20
8,Nieder­sachsen,2020-06-15 10:10:00,12909,614
9,Nord­rhein-West­falen,2020-06-15 10:10:00,39307,1646
10,Rhein­land-Pfalz,2020-06-15 10:10:00,6841,231
11,Saarland,2020-06-15 10:10:00,2772,168
12,Sachsen,2020-06-15 10:10:00,5347,219
13,Sachsen-Anhalt,2020-06-15 10:10:00,1768,57
14,Schles­wig-Holstein,2020-06-15 10:10:00,3121,151
15,Thüringen,2020-06-15 10:10:00,3171,174
16,Gesamt,2020-06-15 10:10:00,186461,8791
