,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-12 10:10:00,182958,3353
1,Bayern,2020-12-12 10:10:00,253069,4812
2,Berlin,2020-12-12 10:10:00,77208,790
3,Branden­burg,2020-12-12 10:10:00,25818,477
4,Bremen,2020-12-12 10:10:00,11488,150
5,Hamburg,2020-12-12 10:10:00,28620,462
6,Hessen,2020-12-12 10:10:00,105934,1716
7,Meck­lenburg- Vor­pommern,2020-12-12 10:10:00,7870,96
8,Nieder­sachsen,2020-12-12 10:10:00,83935,1403
9,Nord­rhein-West­falen,2020-12-12 10:10:00,310932,4422
10,Rhein­land-Pfalz,2020-12-12 10:10:00,54969,837
11,Saarland,2020-12-12 10:10:00,15460,296
12,Sachsen,2020-12-12 10:10:00,82226,1591
13,Sachsen-Anhalt,2020-12-12 10:10:00,17703,263
14,Schles­wig-Holstein,2020-12-12 10:10:00,17515,290
15,Thüringen,2020-12-12 10:10:00,24811,508
16,Gesamt,2020-12-12 10:10:00,1300516,21466
