,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-17 10:10:00,194357,3640
1,Bayern,2020-12-17 10:10:00,272883,5309
2,Berlin,2020-12-17 10:10:00,82253,929
3,Branden­burg,2020-12-17 10:10:00,29215,605
4,Bremen,2020-12-17 10:10:00,12086,163
5,Hamburg,2020-12-17 10:10:00,30559,500
6,Hessen,2020-12-17 10:10:00,113998,1964
7,Meck­lenburg- Vor­pommern,2020-12-17 10:10:00,8939,109
8,Nieder­sachsen,2020-12-17 10:10:00,88898,1523
9,Nord­rhein-West­falen,2020-12-17 10:10:00,332684,4927
10,Rhein­land-Pfalz,2020-12-17 10:10:00,59649,979
11,Saarland,2020-12-17 10:10:00,16523,325
12,Sachsen,2020-12-17 10:10:00,95616,1923
13,Sachsen-Anhalt,2020-12-17 10:10:00,20156,318
14,Schles­wig-Holstein,2020-12-17 10:10:00,19334,315
15,Thüringen,2020-12-17 10:10:00,29011,596
16,Gesamt,2020-12-17 10:10:00,1406161,24125
