,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-12-02 10:10:00,152782,2825
1,Bayern,2020-12-02 10:10:00,213308,3970
2,Berlin,2020-12-02 10:10:00,66306,594
3,Branden­burg,2020-12-02 10:10:00,19605,359
4,Bremen,2020-12-02 10:10:00,10253,125
5,Hamburg,2020-12-02 10:10:00,25143,385
6,Hessen,2020-12-02 10:10:00,89446,1338
7,Meck­lenburg- Vor­pommern,2020-12-02 10:10:00,6116,65
8,Nieder­sachsen,2020-12-02 10:10:00,72534,1184
9,Nord­rhein-West­falen,2020-12-02 10:10:00,267069,3621
10,Rhein­land-Pfalz,2020-12-02 10:10:00,45169,572
11,Saarland,2020-12-02 10:10:00,12884,258
12,Sachsen,2020-12-02 10:10:00,58894,1010
13,Sachsen-Anhalt,2020-12-02 10:10:00,12788,181
14,Schles­wig-Holstein,2020-12-02 10:10:00,14587,258
15,Thüringen,2020-12-02 10:10:00,17859,378
16,Gesamt,2020-12-02 10:10:00,1084743,17123
