,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2021-01-09 10:10:00,257403,5464
1,Bayern,2021-01-09 10:10:00,351615,7786
2,Berlin,2021-01-09 10:10:00,105118,1547
3,Branden­burg,2021-01-09 10:10:00,49531,1281
4,Bremen,2021-01-09 10:10:00,14257,219
5,Hamburg,2021-01-09 10:10:00,40123,792
6,Hessen,2021-01-09 10:10:00,148863,3461
7,Meck­lenburg- Vor­pommern,2021-01-09 10:10:00,14429,235
8,Nieder­sachsen,2021-01-09 10:10:00,118305,2313
9,Nord­rhein-West­falen,2021-01-09 10:10:00,424492,7866
10,Rhein­land-Pfalz,2021-01-09 10:10:00,79252,1740
11,Saarland,2021-01-09 10:10:00,21642,529
12,Sachsen,2021-01-09 10:10:00,152459,3981
13,Sachsen-Anhalt,2021-01-09 10:10:00,35734,832
14,Schles­wig-Holstein,2021-01-09 10:10:00,28056,534
15,Thüringen,2021-01-09 10:10:00,50302,1298
16,Gesamt,2021-01-09 10:10:00,1891581,39878
